NAME,UNIT NUMBER,CITY,STATA,ZIP,LINES,FEATURE
161 St - Yankee Stadium,,BRONX,NEW YORK,10451,"4, B, D",Elevator
149 St - 3 Av ,,BRONX,NEW YORK,10455,"2, 5",Elevator
Simpson St,,BRONX,NEW YORK,10459,"2, 5",Elevator
East 180 St ,,BRONX,NEW YORK,10460,"2, 5",Elevator
Pelham Bay Park,,BRONX,NEW YORK,10461,6,Elevator
231 St ,,BRONX,NEW YORK,10463,1,Elevator
233 St,,BRONX,NEW YORK,10466,"2,5",Elevator
Fordham Rd ,,BRONX,NEW YORK,10468,1,Elevator
Kingsbridge Road ,,BRONX,NEW YORK,10468,"D,B",Elevator
Pelham Pkwy,,BRONX,NEW YORK,10469,"2, 5",Elevator
Gun Hill Rd ,,BRONX,NEW YORK,10469,"2,5",Elevator
Hunts Point ,,BRONX,NEW YORK,10474,1,Elevator
Borough Hall / Court St,,BROOKLYN,NEW YORK,11201,"2, 3, 4, 5, Court St - 2, 3, 4, 5",Elevator
Jay St - MetroTech,,BROOKLYN,NEW YORK,11201,"A, C, F,R",Elevator
Flushing Av ,,BROOKLYN,NEW YORK,11206,"J,M",Elevator
Euclid Av ,,BROOKLYN,NEW YORK,11208,"A,C",Elevator
Flatbush Av Brooklyn College ,,BROOKLYN,NEW YORK,11210,"2,5",Elevator
Marcy Av ,,BROOKLYN,NEW YORK,11211,"J, M,Z",Elevator
Crown Hts - Utica Av ,,BROOKLYN,NEW YORK,11213,"3,4",Elevator
Bay Parkway ,,BROOKLYN,NEW YORK,11214,D,Elevator
Prospect Park ,,BROOKLYN,NEW YORK,11215,"B, Q,S",Elevator
Atlantic Av-Barclays Ctr,,BROOKLYN,NEW YORK,11217,"2, 3, 4, 5, B, Q, D, N,3, 4, 5",Elevator
Dekalb Av ,,BROOKLYN,NEW YORK,11217,"B, Q,R",Elevator
Church Av,,BROOKLYN,NEW YORK,11218,"2,5",Elevator
Coney Island Stillwell Av,,BROOKLYN,NEW YORK,11224,"D, F, N,Q",Elevator
Church Av ,,BROOKLYN,NEW YORK,11226,"F,G",Elevator
Kings Highway,,BROOKLYN,NEW YORK,11229,"B,Q",Elevator
Utica Av,,BROOKLYN,NEW YORK,11233,"A,C",Elevator
Myrtle Av / Wyckoff Av ,,BROOKLYN,NEW YORK,11237,"L,M",Elevator
Franklin Av ,,BROOKLYN,NEW YORK,11238,"C,S",Elevator
34 St - Hudson Yards,,NEW YORK,NEW YORK,10001,7,Elevator
14 St - Union Sq ,,NEW YORK,NEW YORK,10003,"4, 5, 6, L, N, Q, R,5, 6",Elevator
Bowling Green ,,NEW YORK,NEW YORK,10004,"4,5",Elevator
South Ferry / Whitehall St,,NEW YORK,NEW YORK,10004,"1, R,W",Elevator
WTC Cortlandt,,NEW YORK,NEW YORK,10006,1,Elevator
Cortlandt St,,NEW YORK,NEW YORK,10007,"R,W",Elevator
Chambers St/WTC/Park Place ,,NEW YORK,NEW YORK,10007,"A, C, E, 2,3",Elevator
Chambers St,,NEW YORK,NEW YORK,10007,"1, 2,3",Elevator
23 St ,,NEW YORK,NEW YORK,10010,6,Elevator
West 4 St - Washington Sq ,,NEW YORK,NEW YORK,10011,"A, B, C, D, E, F,M",Elevator
Broadway-Lafayette/Bleecker St ,,NEW YORK,NEW YORK,10012,"B, D, F,6",Elevator
Brooklyn Bridge - City Hall - Chambers St,,NEW YORK,NEW YORK,10013,"4, 5, 6, J,Z",Elevator
Canal St,,NEW YORK,NEW YORK,10013,"J, Z, N, Q, R, W,6",Elevator
14 St - 8 Av ,,NEW YORK,NEW YORK,10014,"A, C, E,L",Elevator
"44 WEST 4TH STREET, NEW YORK, NEW YORK 10014",,NEW YORK,NEW YORK,10014,,Ramp
28 St ,,NEW YORK,NEW YORK,10016,6,Elevator
42 St - Grand Central ,,NEW YORK,NEW YORK,10017,"4, 5, 6, 7,5, 6, 7",Elevator
Times Sq - 42 St / Port Authority Bus Terminal Station,,NEW YORK,NEW YORK,10018,"N, Q, R, S, W, 1, 2, 3,7",Elevator
50 St,,NEW YORK,NEW YORK,10019,"C,E",Elevator
49 St ,,NEW YORK,NEW YORK,10019,"N, Q, R,W",Elevator
47-50 St - Rockefeller Ctr ,,NEW YORK,NEW YORK,10020,"B, D, F,M",Elevator
72 St,,NEW YORK,NEW YORK,10021,"1, 2,3",Elevator
72 St / 2 Av ,,NEW YORK,NEW YORK,10021,Q,Elevator
Lexington Av / 51 St,,NEW YORK,NEW YORK,10022,"E, M,6",Elevator
66 St - Lincoln Center,,NEW YORK,NEW YORK,10023,2,Elevator
59 St - Columbus Cir,,NEW YORK,NEW YORK,10023,"1, A, B, C,D",Elevator
86 St / 2 Av ,,NEW YORK,NEW YORK,10028,Q,Elevator
96 St,,NEW YORK,NEW YORK,10029,"1, 2, 3",Elevator
96 St / 2 Av,,NEW YORK,NEW YORK,10029,Q,Elevator
135 St,,NEW YORK,NEW YORK,10030,"2,3",Elevator
168 St - Washington Hts,,NEW YORK,NEW YORK,10032,"1, A, C",Elevator
175 St,,NEW YORK,NEW YORK,10033,A,Elevator
207 St - Inwood,,NEW YORK,NEW YORK,10034,A,Elevator
Dyckman St,,NEW YORK,NEW YORK,10034,1,Elevator
125 St ,,NEW YORK,NEW YORK,10035,"4, 5, 6",Elevator
Fulton St,,NEW YORK,NEW YORK,10038,"A, C, J, Z, 2, 3, 4,5",Elevator
Roosevelt Island ,,NEW YORK,NEW YORK,10044,F,Elevator
Lexington Av / 63 St ,,NEW YORK,NEW YORK,10065,"F,Q",Elevator
Lexington Av / 63 St,,NEW YORK,NEW YORK,10065,"F,Q",Elevator
34 St - Penn,,NEW YORK,NEW YORK,10119,"A, C, E, 1, 2,3",Elevator
34 St - Herald Sq,,NEW YORK,NEW YORK,10120,"B, D, F, M, N, Q, R,W",Elevator
21 St - Queensbridge ,,QUEENS,NEW YORK,11101,F,Elevator
Queens Plaza ,,QUEENS,NEW YORK,11101,"E, R,M",Elevator
Court Square / 23 St ,,QUEENS,NEW YORK,11101,"G, 7, E,M",Elevator
Flushing Main St,,QUEENS,NEW YORK,11354,7,Elevator
Junction Blvd,,QUEENS,NEW YORK,11368,7,Elevator
Jackson Hts-Roosevelt Av-74 St ,,QUEENS,NEW YORK,11372,"E, F, M, R,7",Elevator
Forest Hills - 71 Av ,,QUEENS,NEW YORK,11375,"E, F, R,M",Elevator
61 St - Woodside ,,QUEENS,NEW YORK,11377,7,Elevator
Howard Beach - JFK Airport,,QUEENS,NEW YORK,11414,A,Elevator
Kew Gardens / Union Tpk,,QUEENS,NEW YORK,11415,"E,F",Elevator
Aqueduct Racetrack,,QUEENS,NEW YORK,11417,A,Elevator
Jamaica - Van Wyck,,QUEENS,NEW YORK,11418,E,Elevator
Ozone Park / Lefferts Blvd,,QUEENS,NEW YORK,11419,A,Elevator
179 St - Jamaica,,QUEENS,NEW YORK,11432,F,Elevator
Sutphin Blvd - Archer Av - JFK Airport,,QUEENS,NEW YORK,11435,"E, J,Z",Elevator
Jamaica Center Parsons/Archer,,QUEENS,NEW YORK,11435,"E,J",Elevator
Far Rockaway - Mott Av ,,QUEENS,NEW YORK,11691,A,Elevator
